Title,Identifier,Creators,Supervisors,Lang,Subjects,SubjectsVDP,Date,Institute,FacultyShort,FacultyLong,InstituteShort,InstituteLong,MasterProg,LangNorm
Hjertestans forårsaket av aksidentell hypotermi - prehospital identifisering og behandling.,https://hdl.handle.net/10642/4863,"Blomberg, Maria","Leegaard, Marit",nb,anestesisykepleiere|aksidentell hypotermi|hjertestans|prehospitalt|identifisering|behandling,VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2016,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Utkast til kunnskapsbasert sjekkliste for bruk ved klargjøring av pasienter som skal overføres fra sykehus til ambulansefly,https://hdl.handle.net/11250/2773908,"Aastrøm, Hege Anita","Leegaard, Marit",nb,Ambulansefly|Sjekklister|Pasientoverføringer|Pasientsikkerhet|Air ambulances|Aeromedical services|Checklists|Patient transfers|Patient safety,,2021,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Bruk av ISBAR for kvalitetssikring ved pasientoverlevering – en observasjonsstudie,https://hdl.handle.net/10642/6420,"Sollie, Anne-Line Kjos|Tærum, Hanne","Liodden, Ingrid",nb,Rapporter|Anestesi|Anestesisykepleiere|Prosedyrer,VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2016,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
"Hvilken kunnskap finnes om hvordan opioidfri anestesi påvirker postoperative smerter, kvalme og oppkast?  En systematisk oversikt over randomiserte kontrollerte studier",https://hdl.handle.net/11250/2753906,"Nesdal, Linn Therese|Sørby, Hanne","Dihle, Alfhild",nb,Generell anestesi|Ikke-opioide analgetika|Postoperativ kvalme|Postoperativ oppkast|Postoperative smerter|Opioidfri anestesi|General anesthesia|Non-opioid analgesics|Postoperative nausea|Postoperative vomiting|Postoperative pains,,2020,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Forslag til fagprosedyre for anestesisykepleierens ansvar og funksjon for å diagnostisere anafylaksi hos pasienter som får generell anestesi,https://hdl.handle.net/10642/6352,"Fuglset, Birgitte Bolsønes|Berger, Maria Emila Tagle|Urke, Øystein Hjertvik","Stubberud, Dag-Gunnar",nb,Generell anestesi|Perioperativ anafylaksi,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Anestesiologi: 765,2017,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
"Preoperative fasterutiner- Forslag til en kunnskapsbasert fagprosedyre, anestesisykepleierens funksjon og ansvar",https://hdl.handle.net/10642/6353,"Hansen, Madelaine Thue","Liodden, Ingrid",nb,Elektiv kirurgi|Anestesi|Pasientsikkerhet|Komplikasjoner,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Anestesiologi: 765,2017,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Anestesisykepleieres holdninger til Bispectral index - en pilotstudie ved bruk av kvalitativ metode,https://hdl.handle.net/10642/6355,"Kraglund, Marianne Heitmann|Østebø, Ingrid Lenes","Liodden, Ingrid",nb,Bispectral index|Holdninger|Kunnskap|Anestesisykepleie,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Anestesiologi: 765,2017,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
”Det verste er å grue seg” Betydningen av forberedelsen. En kvalitativ masteroppgave om anestesisykepleieres opplevelser og erfaringer med å trygge engstelige barn før innledning av anestesi,https://hdl.handle.net/10642/6348,"Thomasgaard, Maren","Valeberg, Berit Taraldsen|Lohne, Vibeke",nb,Preoperativ engstelse|Anestesi|Preoperativ forberedelse|Anestesisykepleie,VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2017,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Cufftrykkmåling: en aktiv tilnærming. En systematisk litteraturstudie av randomiserte kontrollerte studier med narrativ syntese,https://hdl.handle.net/11250/2773919,"Vist, Mari|Støvind, Petter","Leegaard, Marit",nb,Anestesi|Cufftrykk|Monitorering|Trakeal iskemi|Mikroaspirasjon|Anesthesia|Cuff pressures|Monitoring|Tracheal ischemia|Microaspiration|Overvåking,,2021,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
"Forslag til kunnskapsbasert fagprosedyre for positivt endeekspiratorisk trykk [PEEP] og lungerekruttering hos voksne, overvektige pasienter i generell anestesi - et kvalitetsarbeid",https://hdl.handle.net/11250/2773814,"Børsting, May-Linn|Fanneløb, Siri Finset|Ruud, Kristine Agnes","Danielsen, Stein Ove",nb,Overvekt|Positive endeekspiratoriske trykk|Lungerekruttering|Generell anestesi|Perioperative respiratoriske komplikasjoner|Fagprosedyrer|Obesity|Positive end-expiratory pressures|Lung recruitment maneuvers|General anesthesia|Perioperative respiratory complications|Clinical practice guidelines,,2021,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
"Forslag til fagprosedyre for: ”Endotrakeal intubasjon til fastende voksne pasienter uten vanskelig luftvei, som skal i generell anestesi.”",https://hdl.handle.net/10642/6365,"Nesbakk, Line","Hetmann, Fredrik",nb,Anestesisykepleie|Endotrakeal intubasjon|Kunnskapsbasert praksis|Pasientsikkerhet,VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2018,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
"Premedikasjon til barn. ""En kvalitativ masteroppgave om anestesisykepleierens erfaring med bruk av midazolam eller catapresan som premedikasjon til barn""",https://hdl.handle.net/10642/9199,"Hagehelahi, Jasmin|Normann, Anniken","Eikeland, Anne",nb,Premedication|Children|Anesthetic nurses|Experiences|Midazolam|Catapresan|Clonidine|Premedikasjon|Barn|Anestesisykepleiere|Erfaringer|Klonidin,,2019,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Innføring av vurderingsverktøy for ikke-tekniske ferdigheter hos anestesisykepleiestudenter; en kvantitativ studie om hvordan anestesisykepleierne evaluerer vurderingsverktøyet og kurset i bruken av det,https://hdl.handle.net/11250/2773940,"Haakensen, Maria Lura","Valeberg, Berit Taraldsen",nb,Ikke-tekniske ferdigheter|Anestesisykepleiere|Pasientsikkerhet|Utdanning|NANTS-no|Nurse Anaesthetists´ Non-Technical Skills  - Norway|Non-technical skills|Nurse anaesthetists|Nurse anesthetists|Patient safety|Education,,2021,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Effekt av informasjon på preoperativ engstelse blant voksne dagkirurgiske pasienter,https://hdl.handle.net/10642/6331,"Dzimitryieva-Jensen, Hanna",,nb,Preoperativ engstelse|Dagkirurgi|Pasientinformasjon|Engstelsesreduksjon|Voksne,VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2017,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Evaluering av standardisert smertebehandlingsregime med peroperativ infusjon av esketamin og lidokain - Et kvalitetssikringsarbeid,https://hdl.handle.net/11250/2773818,"Sevilhaug, Andreas|Solbjørg, Trond Vegar","Legaard, Marit",nb,Kolorektalkirurgi|Anestesi|Laparoskopi|Postoperative smerter|Esketamin|Lidokain|Standardisert analgesi|Standardisert smertelindring|Colorectal surgery|Laparoscopy|Anesthesia|Postoperative pains|Lidocaine|Esketamine|Standardized pain reliefs,,2021,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Undervisningsprogram om anestesisykepleierens funksjon og ansvar ved anestesi til barn med medfødt hjertesykdom,https://hdl.handle.net/11250/2753891,"Bolgvåg, Line","Leegaard, Marit",nb,Medfødte hjertefeil|Medfødte hjertesykdommer|Anestesisykepleie|Anestesi|Congenital heart defects|Congenital heart diseases|CHD|Anaesthesia nursing|Anaesthesia|Nurses,,2020,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Anestesisykepleieres profesjonelle kompetanse om organdonasjon - en kartlegging,https://hdl.handle.net/10642/9205,"Bjerke, Tonje Åsrud|Hermann, Camilla Liseth|Åsli, Marius Dahle","Eikeland, Anne|Meyer, Käthe Birgitte",nb,Perioperative nursing|Nursing anesthetists|Organ procurements|Tissue harvesting|Organ harvesting,,2020,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Preoperativ angst hos barn,https://hdl.handle.net/10642/4862,"Bjørnå, Synne Ingrid","Valeberg, Berit",nb,barneanestesi|preoperativ angst|modifies Yale Preoperative Anxiety Scale (m-YPAS)|premedikasjon,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Anestesiologi: 765|VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2016,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Anestesisykepleie og pasientsikkerhet. Hvordan opplever anestesisykepleierne gjennomføringenn av Sjekkliste for Trygg Kirurgi,https://hdl.handle.net/10642/6356,"Stenseth, Rita","Husby, Vigdis Schnell",nb,Pasientsikkerhet|Anestesisykepleie|Sjekkliste,VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2017,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Risikostyring i offentlige helsetjenester,https://hdl.handle.net/10642/2625,"Johansen, Anders","Ree, Gunnar",nb,Komplekse systemer|Risikostyring|Risikoanalyse|Kulturell seleksjon|Kompleksitet|Atferdsanalyse|Pasientsikkerhet,,2015,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Improving reading fluency: a literature review and an empirical study,https://hdl.handle.net/10642/1085,"Halldorsdottir, Lilja Yr","Arntzen, Erik",en,Stimuluskontroll|Kunnskapsbasert praksis|Leseflyt|Komplekse systemer|Barn,VDP::Samfunnsvitenskap: 200::Psykologi: 260,2011,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,eng
Good Behavior Game: En atferdsanalytisk klasseromsintervensjon med kortsiktige- og langsiktige effekter,https://hdl.handle.net/10642/6122,"Skåren, Joachim","Strømgren, Børge",nb,Atferdsanalyse|Good behavior game|Klasseromsintervensjon|Gruppekontingenser|Studie|Tiltak|Intervensjon|Barneskoler|Skoler,,2018,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Kvinner til begjær eller besvær. Kvinnelige styremedlemmer i et nettverksperspektiv - artikkel I,https://hdl.handle.net/10642/1340,"Berg, Charlotte Cesilie","Andersen, Britt",nb,Kjønnskvotering|Aksjeselskaper|Nettverksteorier|Nettverkstetthet,VDP::Samfunnsvitenskap: 200::Kvinne- og kjønnsstudier: 370,2012,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Good Behavior Game: En atferdsanalytisk klasseromsintervensjon med effekter på læreratferd,https://hdl.handle.net/10642/9238,"Saxebøl, Thea Josefine","Strømgren, Børge",nb,Good Behavior Game|Læreratferd|Atferdsanalyse|Klasseromsintervensjon|Kommentarer|Negative kommentarer|Positive kommentarer,,2020,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Growth mindset theory and culture: An additional perspective on future development of measurement tools and interventions,https://hdl.handle.net/11250/2787986,"Vengsholt, Toyha","Ree, Gunnar",en,Growth mindset theory|Behavioral contingencies|Measurement tools|Interventions,,2021,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,eng
Hvilke motiver for frivillig arbeid skiller individualister og kollektivister?,https://hdl.handle.net/10642/6645,"Holmøy, Vilde","Ree, Gunnar",nb,Horisontal individualisme|Vertikal individualisme|Horisontal kollektivisme|Vertikal kollektivisme|Frivillig arbeid|Forsterkningsbetingelser|Motiv|Regler|Individualisme|Kollektivisme|Rolleidentitet|Atferdsanalyse,,2018,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Speed and accuracy in fluency and equivalence,https://hdl.handle.net/10642/1323,"Pétursson, Pétur Ingi","Arntzen, Erik",en,Behavioral fluency|Stimulus equivalence,VDP::Samfunnsvitenskap: 200::Psykologi: 260,2012,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,eng
Sosial nettverksanalyse og organisasjonsendringer: En litteraturgjennomgang og en empirisk studie,https://hdl.handle.net/10642/7487,"Martinsen, Kristine","Bento, Fabio",nb,Organisasjoner|Organisasjonsendring|Sosial nettverksanalyse|Sosiale nettverk|Atferdsvitenskap,,2019,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Social network analysis of a health organization with focus on the social educators with medical competencies role for communication flow,https://hdl.handle.net/11250/2787951,"Grønseth, Frida","Bento, Fabio",en,Complex systems|Communication flow|Social network analysis,,2021,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,eng
"Hvor viktig er inntektssikring, foreldrepåvirkning og tidligere skoleopplevelser for ungdom som står utenfor skole og arbeid? (En kvantitativ undersøkelse)",https://hdl.handle.net/10642/6652,"Thorbjørnsen, Gina","Ree, Gunnar",nb,Ungdom|Inntekter|Foreldre|Utenforskap|Psykiske vansker|Motivasjon|Oppfølging|Atferdsanalyse|Inntektssikring,,2018,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Hatprat og ekstremisme: En analyse av ekstreme ytringer på internett og i sosiale medier,https://hdl.handle.net/10642/6111,"Løvmyr, Espen","Ree, Gunnar",nb,Ekstremisme|Radikalisering|Ekstreme ytringer|Hatprat|Internett|Sosiale medier|Psykologi|Atferdsvitenskap,,2018,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Effekten av ulike forsinkelser til forsterkning hos barn med autismespekterforstyrrelse: En systematisk gjennomgang og empirisk studie,https://hdl.handle.net/11250/2755370,"Sakseide, Kristoffer","Eldevik, Sigmund",nb,Forsinket forsterkning|Autisme|Barn,,2020,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Feedback and Variability:Does feedback sign in the learning history affect variability?,https://hdl.handle.net/10642/2176,"Nergaard, Siv Kristin","Sandaker, Ingunn",en,Variability|Feedback sign|Creativity|Learning,,2014,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,eng
Om Prestasjonsledelse: En pragmatisk tilnærming,https://hdl.handle.net/10642/1914,"Solheim, Mari Dahl","Sandaker, Ingunn",nb,Performance management|Banking sector|Traditional management|Best practices|Systematic feedback|Financial gain,,2014,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Opplæring i eksperimentelle funksjonelle analyser og visuelle analyse: En teoretisk analyse og empirisk undersøkelse,https://hdl.handle.net/11250/2787945,"Hansen, Lise Marita Kvalø","Almås, Inger Karin",nb,Personalopplæring|Problematferd,,2021,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Seleksjon i systemer – en studie av bosetting og behandling av bostedløse rusmisbrukere,https://hdl.handle.net/10642/1289,"Moen-Hermansen, Espen","Evensen, Stein",nb,Rusmisbrukere|hjemløse|Bostedløse|Komplekse systemer,,2012,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
On the relationship between component and composite multiplication skills and natural frequency growth,https://hdl.handle.net/10642/3320,"Berg-Mortensen, Cathrine","Strømgren, Børge",en,Frequency|Curriculum based measurement|Precision teaching|Tilrettelagt undervisning|Intervensjon|Respons|Skill Proficiency|Spesialiserte ferdigheter,,2016,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,eng
E-læring og sosiale medier,https://hdl.handle.net/10642/2643,"Gulliksen, Marit","Fagerstrøm, Asle",nb,Komplekse systemer|Atferdsvitenskap|E-læring|Sosiale medier|Facebook|Gamification|Nettstudier|Opplæringsdesign,,2015,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Mimicking Meaningfulness: stimulus equivalence and meaning,https://hdl.handle.net/10642/753,"Nartey, Richard Korley","Arntzen, Erik",en,Stimulusekvivalens|Atferdsanalyse|Komplekse systemer|Naming|Betinget diskriminasjon,VDP::Social science: 200::Psychology: 260,2010,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,eng
Conceptual approaches to culture and communication: Approaches from each of the three levels of selection,https://hdl.handle.net/10642/3325,"Bahari, Mohsen","Couto, Kalliu|Sandaker, Ingunn",en,Behavior analysis|Atferdsanalyse|Komplekse systemer|Cultural selection|Kulturell seleksjon|Communcation|Kommunikasjon|Verbal behavior,,2016,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,eng
En atferdsanalytisk tolkning av depresjonsbehandling,https://hdl.handle.net/10642/2346,"Myhre, Martin Øverlien","Strømgren, Børge",nb,Atferdsanalyse|Depresjon|Atferdsaktivering|Brief Behavioral Activation Treatment for Depression|Empirisk støttede behandlingsformer|Pasienter,,2014,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Beskrivelse av rammeverk for implementering. Artikkel 1,https://hdl.handle.net/10642/5147,"Bredvold, Ann Merethe","Strømgren, Børge",nb,Implementation fases|Implementation framework|Målstyrt miljøterapi|Degree of implementation,,2017,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Hva påvirker valgene våre? Verktøy og virkemidler for å forme valgsituasjoner,https://hdl.handle.net/10642/6121,"Nafstad, Sigrid","Sigurjonsdottir, Sigridur",nb,Cognitive bias|Kognitive biaser|Atferdsvitenskap|Digitalisering|Digitization|Dual process theory|Valg|Choice,,2018,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Akuttarbeid med barn og unge i det psykiske helsevern fra et kompleksitetsperspektiv [ artikkel 1],https://hdl.handle.net/10642/923,"Tromop, Christiaan","Ree, Gunnar",nb,Komplekse systemer|Ungdomspsykiatri|Døgnbehandling|Psykisk helsevern|Ambulant behandling,"VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Psykiatri, barnepsykiatri: 757",2011,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
On the role of transfer of function in the understanding of preferences,https://hdl.handle.net/10642/2644,"Eilertsen, Jon Magnus","Arntzen, Erik",en,Stimulus equivalence|One-to-many|Functional stimulus class|Consumer behavior|Transfer of function|Behavioral science|Atferdsvitenskap,,2015,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,eng
Leseopplæring basert på matriser hos barn med norsk som andrespråk,https://hdl.handle.net/10642/5142,"Rasmussen, Ane","Eldevik, Sigmund",nb,Leseopplæring|Matrise trening|Rekombinativ generalisering|Minoritetsspråklig|Atferdsanalyse,,2017,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
Innovasjonsprosesser i organisasjoner [artikkel 1],https://hdl.handle.net/10642/924,"Hansen, Daniel A","Offernes, Nils-Øyvind",nb,Innovasjonsprosesser|Komplekse systemer|Ledelse,VDP::Samfunnsvitenskap: 200::Psykologi: 260,2011,HV - Master i Atferdsvitenskap,HV,Fakultet for helsefag,AV,Institutt for atferdsvitenskap,Master i Atferdsvitenskap,nor
